Column1;Column2;Column3
211;Dandara: Trials of Fear Edition;82000
212;Iris.Fall;42000
213;Z1 Battle Royale;10793000
214;Graveyard Keeper;682000
215;Jurassic World Evolution;1274000
216;Rifter;9000
217;State of Mind;47000
218;Pro Cycling Manager 2018;51000
219;Megaquarium;73000
220;Lume - Alpha Release;1000
221;FOX n FORESTS;1000
222;Override: Mech City Brawl;24000
223;Pure Farming 2018;53000
224;We Were Here Too;156000
225;Super Inefficient Golf;13000
226;Rust;11367000
227;Light Fall;3000
228;Trailblazers;2000
229;City of Brass;24000
230;Fishing: Barents Sea;82000
231;Ys VIII: Lacrimosa of DANA;70000
232;World of Warplanes;222000
233;My Memory of Us;9000
234;House Flipper;1030000
235;Zwei: The Arges Adventure;11000
236;Keepsake;36000
237;Mobile Forces;12000
238;TSIOQUE;27000
239;Battlezone: Combat Commander;61000
240;The Spectrum Retreat;10000
241;Just Cause 4 Reloaded;647000
242;TT Isle of Man Ride on the Edge;66000
243;Strange Brigade;109000
244;Metal Fatigue;30000
245;Shining Resonance Refrain;29000
246;WARTILE;27000
247;Genital Jousting;445000
248;Seeking Dawn;30000
249;Smoke and Sacrifice;16000
250;Empires Apart;120000
251;Seeking Dawn: Free to Play Edition;19000
252;Conan Exiles;1620000
253;Lake Ridden;10000
254;BELOW;33000
255;Inked;5000
256;Mulaka;5000
257;Warhammer 40,000: Inquisitor - Martyr;262000
258;Bus Simulator 18;217000
259;The Thin Silence;2000
260;Another Sight - Definitive Edition;3000
261;The Council;140000
262;The King's Bird;11000
263;This Is the Police 2;138000
264;The Shapeshifting Detective;33000
265;NARUTO TO BORUTO: SHINOBI STRIKER;411000
266;Fallen Legion+;7000
267;Downward Spiral: Horus Station;4000
268;Jalopy - Road Trip Car Driving Simulator Indie Game;208000
269;Gleaner Heights;27000
270;Gift of Parthax;4000
271;InnerSpace;9000
272;Ash of Gods: Redemption;81000
273;Antigraviator;6000
274;Naked Sun;12000
275;War Tech Fighters;13000
276;Touhou: Scarlet Curiosity | 東方紅輝心;26000
277;MachiaVillain;51000
278;Damsel;2000
279;Supposedly Wonderful Future;1000
280;Murderous Pursuits;1384000
281;Fable Fortune;97000
282;Strikers Edge;8000
283;Immortal: Unchained;56000
284;SINNER: Sacrifice for Redemption;14000
285;Lucid Dream Adventure;4000
286;Rise of Insanity;49000
287;HYPERGUN;3000
288;Gravel;17000
289;AIRHEART - Tales of broken Wings;20000
290;We Happy Few;172000
291;Earthfall;99000
292;Sea Dogs: City of Abandoned Ships;4000
293;Sword Art Online: Fatal Bullet;588000
294;Anamorphine;3000
295;Desert Child;2000
296;SYMMETRY;15000
297;Twilight Path;3000
298;Exorder;1000
299;Distortions;4000
300;Dakar 18;20000
301;Super Lucky's Tale;37000
302;Jagged Alliance: Rage!;4000
303;The Way of Kings: Escape the Shattered Plains;2000
304;ReCore: Definitive Edition;38000
305;Creepy Road;6000
306;The Path of Motus;1000
307;Shroud of the Avatar: Forsaken Virtues;220000
308;Mars or Die!;9000
309;City of the Shroud;2000
310;The Way of Life: DEFINITIVE EDITION;6000
311;Traffic Giant;7000
312;Paradise;4000
313;Achtung! Cthulhu Tactics;3000
314;Pizza Connection 3;72000
315;STONE;5000
316;The Great Escape;1000
317;INSOMNIA: The Ark;58000
318;METAL GEAR SURVIVE;185000
319;Haimrik;6000
320;YUMENIKKI -DREAM DIARY-;111000
321;Extinction;9000
322;Bullet Witch;43000
323;Lust for Darkness;50000
324;LIGHT;2000
325;Defiance 2050;414000
326;Unknown Fate;6000
327;Past Cure;4000
328;Agony;73000
329;Safe House;1000
330;KURSK;8000
331;Fear Effect Sedna;11000
332;Underworld Ascendant;26000
333;Industry Giant;2000
334;Shaq Fu: A Legend Reborn;3000
335;Wild West Online;129000
336;Sniper Rust VR;1000
337;NetHack: Legacy;1000
338;Resynth;1000
339;Alone;2000
340;AIDEN;3000
341;Pirate Code;3000
342;Fantasy Defense;6000
343;Mercury Race;1000
344;Tesseract VR;33000
345;Zero Killed;4000
346;Crazy Machines VR;2000
347;Kolumno;1000
348;Witch Thief;1000
349;Monster MIX;5000
350;Crazy Soccer: Football Stars;1000
351;Robo Puzzle Smash;1000
352;Legacy of Lina;3000
353;Zima uhodi!;41000
354;STE : Save The Earth;3000
355;Ice Cream Factory;2000
356;Awkward;1000
357;Around the World in 80 Days;6000
358;Cluster Dust;3000
359;Forever Space;9000
360;Viking Brothers 4;1000
361;Hacker News Reader;14000
362;Hostile User Interface;1000
363;AstroBlast VR;1000
364;Escape From Cozy Island;8000
365;Navalny: Posledniy miting;2000
366;Energy Invasion;27000
367;Good Boy!;2000
368;Stunt Corgi VR;1000
369;Dreams of Greatness;3000
370;KeyBoard Guitar Master;1000
371;Space2D;2000
372;Lost Frontier;1000
373;COSMONAUT;5000
374;Demolition Engineer;2000
375;RedSun RTS;1000
376;Badminton Kings VR;1000
377;Trippy Jump;1000
378;HORDE ATTACK;1000
379;Battlecursed;1000
380;Shinobi Bad Buddies;1000
381;Castle Agony;2000
382;Kingdoms Of Marazia;1000
383;LOGistICAL: Brazil;1000
384;Novas Las Aventurietas del Robercleiton: o Renascimento do TURBO;1000
385;Dino Dawn;1000
386;Bunker Rush;1000
387;The Adventures of Mr. Fluffykins;1000
388;End War RTS;1000
389;Afelhem;2000
390;McRogue;1000
391;Lords of Strife;1000
392;Cthulhu Mythos RPG -The Sleeping Girl of the Miasma Sea-;1000
393;Deathmatch Soccer;1000
394;Hero Go;1000
395;Power War:The First Men;1000
396;Rise:30 Minutes to Extinction;1000
397;Birdcakes;1000
398;Club Dance Party VR;2000
399;Wrath of the Goliaths: Dinosaurs;1000
400;crazy maze ~疯狂迷宫 ~ 狂った迷路 ~ Laberinto loco ~ Labyrinthe fou ~ Verrücktes Labyrinth;1000
401;Marco Polo;1000
402;Card Games Mega Collection;2000
403;Assembly Required;2000
404;Dead Mayhem;1000
405;神遊敦煌-莫高窟第61窟;11000
406;Brath: Brain and Math;1000
407;Travel Mosaics 6: Christmas Around the World;3000
408;Vegetaball;1000
409;LOGistICAL: USA - Wisconsin;1000
410;Super Kids Racing;1000
411;MixCast;8000
412;Moonfall Ultimate;1000
413;Roarr! The Adventures of Rampage Rex;4000
414;PlayUSA;2000
415;Moto VR;1000
416;The Chronicles of Noah's Ark;7000
417;Loot Run;4000
418;Mystery Case Files: Rewind Collector's Edition;1000
419;The.Thend.End;3000
420;Coral Compass: Fighting Climate Change in Palau;7000
421;Dongo Adventure;1000
422;Cotropitorii;3000
423;覇県を握れ ～47都道府県大戦～;1000
424;The World of Labyrinths: Labyronia;1000
425;Fat Foods;1000
426;Battle Of Keys;4000
427;Battle For Korsun;1000
428;Recursive Dragon;1000
429;Gotcha Racing 2nd;3000
430;Argos - The most difficult VR game in the world;2000
431;The Christmas Gifts;1000
432;Dark Parables: The Match Girl's Lost Paradise Collector's Edition;1000
433;Virtual Families 2: Our Dream House;1000
434;System Siege;1000
435;Prixel;1000
436;Hectic Void;1000
437;Guardian of Immortal Mountain(仙山守卫者);3000
438;Snowglobe;1000
439;Suprapong;1000
440;DCR: Drive.Crash.Repeat;1000
441;Bullet Hell ADVANCED;1000
442;WannaMine;4000
443;Trains of the Orient;6000
444;Hacker.exe;1000
445;Void Cube Runner;3000
446;FlickSync - Mad Hatter VR;7000
447;DREAM GIRLS VR;1000
448;Homeworld Defense;8000
449;Infinite Survival;2000
450;Monstrous;1000
451;Fire and Fury: English Civil War;1000
452;Rugosi;2000
453;Mage Fort;1000
454;Lamplight Station;1000
455;Trivia Clash: Adult Film Star Edition;1000
456;Bomb Riders;5000
457;Total Singu;1000
458;SUPER BENBO QUEST: TURBO DELUXE;6000
459;Dynamite Bunny: Catch The Carrot;1000
460;MonteCrypto: The Bitcoin Enigma;163000
461;Tanks Meet Zombies;3000
462;Nya Nya Nya Girls (ʻʻʻ)_(=^･ω･^=)_(ʻʻʻ);12000
463;Fallen Sky -Online-;6000
464;TOK;7000
465;Sacred Earth - Promise;6000
466;Tilesweeper;16000
467;Perspectrum;1000
468;Meridian 59;54000
469;Moonbase Down;3000
470;Desktop Mascot Engine;14000
471;Magic League;1000
472;Fairly Certain Doom;2000
473;Learn Japanese To Survive! Kanji Combat;20000
474;Kamikazo VR;1000
475;Candy Snake Master;1000
476;SUPER FLAIL;14000
477;Wings of Virtus;3000
478;Tetripank;4000
479;Pixel Hentai Mosaic;2000
480;Don't Look Back;2000
481;Viviette;8000
482;Puzzles and Board Games Mega Collection;1000
483;TUNNEL DIVERS;46000
484;Unborne;1000
485;Paw Patrol: On A Roll!;8000
486;My Farm;1000
487;7;17000
488;Dumb As Wizards;1000
489;7-minute HOP;1000
490;The Story Goes On;7000
491;Chessia;2000
492;Seek Or Die;66000
493;The Seven Stages;1000
494;Incredible Mandy;6000
495;oldTail;4000
496;Astonia Reborn;49000
497;Photo & Graphic Designer 15 Steam Edition;2000
498;Pivot XL;5000
499;Intelligence: Dogs;1000
500;Quiver Dick's Terrible Tale For Terrible Parents To Read To Their Equally Terrible Children;3000
501;Lost Legend;3000
502;150,000 B.C.;26000
503;Inexplicable Geeks: Dawn of Just Us;11000
504;Blonde Driver;42000
505;Casino Blackjack;6000
506;Franchise Hockey Manager 5;7000
507;Tank Blazers;2000
508;All Our Asias;21000
509;Combo Jumper;1000
510;Achievement Idler: Black;79000
511;Leder Panzer;1000
512;Fable of the Sword;17000
513;Polymatic;1000
514;Super Street: The Game;6000
515;Deflection Dimension;4000
516;Time Drifter;19000
517;The Reaction;2000
518;DimensionsVS;48000
519;Admine;1000
520;keyg;4000
521;Off The Record: Liberty Stone Collector's Edition;1000
522;Grisaia Phantom Trigger Vol.5;13000
523;Truth: Disorder II;2000
524;Farm Together;425000
525;Christmas Carol;3000
526;Draft Day Sports: Pro Golf;1000
527;Sable's Grimoire;2000
528;Shadowlings;5000
529;Thief Simulator;427000
530;Colonization of the Moon;2000
531;Pro Office Calculator;10000
532;Doughlings: Arcade;7000
533;LoveChoice;96000
534;Hunter's Trial: The fight never ends;3000
535;The Monsters' History Book;8000
536;Pukan Bye Bye;3000
537;The Room Three;176000
538;The Unknown City (Horror Begins Now.....Episode 1);2000
539;Andor - the Cards of Wonder;2000
540;Heroes of Hammerwatch;386000
541;Checkmate!;2000
542;Moko's Advice;11000
543;WARRIORS OROCHI 4 Ultimate - 無双OROCHI３ Ultimate;70000
544;Battle Ion;1000
545;Giraffe Town;2000
546;Beyond;1000
547;RAMS;2000
548;Super Strawberry Man;1000
549;Elven Love;4000
550;War Robots;749000
551;Not So Middle Ages;15000
552;Oh, you touch my balls ( ͡° ͜ʖ ͡°);8000
553;Star Traders: Frontiers;253000
554;Sick Coaster;1000
555;Blood Harvest 3;1000
556;WWE 2K19;117000
557;Source :beginning;5000
558;Big Tower Tiny Square;6000
559;UNDER NIGHT IN-BIRTH Exe:Late[cl-r];54000
560;Allergenium;1000
561;Zombie Desperation;5000
562;Wizard101;372000
563;Sort the Cube;1000
564;Bighead Runner;10000
565;Treasure Hunter Claire;146000
566;The Lost And Forgotten: Part 1;2000
567;Bitcoin Farm;6000
568;Tiger Knight;375000
569;A Tale of Pirates: a Dummy Mutiny;1000
570;Anima: Gate of Memories - The Nameless Chronicles;3000
571;Tisnart Shapes;1000
572;MY 1980's DASHBOARD;3000
573;Parkasaurus;36000
574;Blitz Freak;1000
575;Monkey Slap;6000
576;Starquake Academy;1000
577;Live3D - Comic & Animation & VTuber Maker - Virtual Production;69000
578;Fat City;2000
579;Skeletal Dance Party;3000
580;PokerStars VR;155000
581;Washed Up Wizard;1000
582;Mosaics Galore;22000
583;Survisland / 实境求生;27000
584;Tanks With Hands: Armed and Treaded;2000
585;aMAZE Christmas;3000
586;Mobile Empire;129000
587;Tales of Mahabharata;4000
588;The Hanged Man;4000
589;Sword Art Online Re: Hollow Fragment;37000
590;The Witch's Apprentice: A Magical Mishap;1000
591;Sloppy Goat;4000
592;Clue/Cluedo: The Classic Mystery Game;61000
593;Off the Record: The Final Interview Collector's Edition;1000
594;Acro FS;36000
595;Mojo: Hanako;82000
596;Dark Dimensions: Somber Song Collector's Edition;1000
597;Barbearian;1000
598;Forged Battalion;151000
599;Brick Breaker Bunch;1000
600;破东荒 - Chaos Of East;6000
601;Zeus' Battlegrounds;182000
602;Committed: Mystery at Shady Pines - Premium Edition;1000
603;Take That;6000
604;IOSoccer;171000
605;World Of Walking Cities;4000
606;RideOp - Thrill Ride Simulator;6000
607;七人杀阵 - Seven Sacrifices;13000
608;Judged: A Court Simulator;1000
609;Super Slime Arena;2000
610;Star Destroyer;27000
611;決戰亞爾薩/Heroes of Arzar;43000
612;COMPOUND;17000
613;Psychoballs;1000
614;Short Life;10000
615;Space Tyrant;44000
616;Mimic;2000
617;De Fobos y Deimos;13000
618;Animal Super Squad;32000
619;Aurora;2000
620;_dive;10000
621;P.A.S.;177000
622;A Top-Down Job: Blood Gain;3000
623;Wild Glory;3000
624;THE DAY Online;360000
625;Nova Wing III;5000
626;Firmament Wars;2000
627;My 1/6 Lover;37000
628;Dangerous Level;3000
629;Minotaur Arcade Volume 1;2000
630;LEGO The Incredibles;33000
631;Bigger Guns;3000
632;Queen's Quest 4: Sacred Truce;3000
633;Cereal Soup;123000
634;Rookie Math Pro;2000
635;Return of Red Riding Hood Enhanced Edition;3000
636;Lucius III;26000
637;Asteion Nights;1000
638;Detective Holmes: Trap for the Hunter. Hidden objects. 探し物;2000
639;Shan Gui II: Sweet Osmanthus II;15000
640;机能女孩-Energy Girl;2000
641;Yokai Mask;11000
642;Moe Jigsaw;43000
643;Wet Warfare;4000
644;aMAZE Classic: Inverted;3000
645;Veil of Crows;18000
646;Monster Minis Extreme Off-Road;1000
647;Jewel Match Twilight Solitaire;1000
648;Ready Player One: OASIS beta;175000
649;Solar Fighters;3000
650;Super Steampunk Pinball 2D;10000
651;Indie Pogo;13000
652;Valerian Tales;1000
653;Guard of Wonderland;2000
654;Sam & Dan: Floaty Flatmates;103000
655;Lazergoat: Invasion;2000
656;RAW FOOTAGE;3000
657;One-Way Ticket / 单程票;42000
658;Torimodosu;1000
659;Debtor;36000
660;The Islander;19000
661;Adventure Game;6000
662;Evie;4000
663;Escape The Pacific;15000
664;Panic Pump - Can you save them ALL?;1000
665;To Leave;4000
666;Gizmo;46000
667;FIT IN;1000
668;Joggernauts;1000
669;Skelly Selest;13000
670;Case Simulator Weapons and Armors;4000
671;Backyard Brawl;37000
672;Shootout on Cash Island;23000
673;Ribbon Racer;1000
674;Beauty and the Beast: Hidden Object Fairy Tale. HOG;3000
675;Techwars: Global Conflict;32000
676;Triteckka: The pure shooter;1000
677;Terra Feminarum;1000
678;Fallen Hero: Rebirth;6000
679;Symphonics: Make Music in VR;1000
680;Parker & Lane: Criminal Justice;3000
681;The Chronicles of Quiver Dick;7000
682;HOLONGLIDE;4000
683;The Pillage;1450000
684;Plumber: the Pipe Rush;1000
685;Heads Run;1000
686;Nusantara: Legend of The Winged Ones;4000
687;Aircraft Evolution;9000
688;Ales Dash;2000
689;SOMOS;1000
690;Blazing Core;2000
691;Ironbound;53000
692;D.F.R.: The Light VR;4000
693;Crisis on the Planet of the Apes;8000
694;Animals Memory: Cats;1000
695;Tren0;27000
696;Ball Escape;29000
697;Bouncing Over It with friends;3000
698;ZoneDriver;32000
699;Galimulator;42000
700;Torque: Simulation Begins;2000
701;ROMBIE;3000
702;Gladio;1000
703;挙式VR 鴻上大和 編 Wedding VR : Yamato;1000
704;Kilcount;4000
705;Roman The Worm;1000
706;ばるばろっさ! ～すすめ? 赤軍少女旅団～(全年齢版);1000
707;Clash of Castle;9000
708;#CuteSnake;4000
709;Super Bugman Extreme Ultra;1000
710;Vreal;16000
711;小黄条/YYNote;12000
712;Drum Simulator;3000
713;Azuran Tales: Trials;1000
714;Core Awaken ~The Yuka~;1000
715;Fear Half Factor;1000
716;Destructions;1000
717;Cosmos Invictus;24000
718;Motorbike Garage Mechanic Simulator;3000
719;Spartan Fist;1000
720;CyberLink PowerDVD 18 Standard;1000
721;Qubika;3000
722;Cold Iron - Quick Draw Western Duels;1000
723;Terror for Two;1000
724;Sausage Sports Club;3000
725;A Winter's Daydream;1000
726;Sky Hawk;4000
727;Henri's Secret - Visual novel;1000
728;Trivia Vault Olympics Trivia;4000
729;Spotter;3000
730;SUM;6000
731;Katie;1000
732;Coach Bus Simulator Parking;1000
733;pixelBOT EXTREME!;1000
734;Google Spotlight Stories: On Ice;6000
735;Jesters Poker;1000
736;My Golf;8000
737;Bolt Riley, A Reggae Adventure;6000
738;Esc: From Planet;1000
739;Dungeon Girl;5000
740;Farstorm;1000
741;BATTLE X Arcade;1000
742;GALAXY TOP WING;4000
743;I was rebuilt;4000
744;Night of the Shrub Part 2;13000
745;RocketGO;6000
746;Beginner'sGame;1000
747;Running King;2000
748;Space Flowers;1000
749;Jigsaw 360;1000
750;OSCKit;1000
751;Hot Mars 69;14000
752;Shaoye;1000
753;Endersite;10000
754;Double Bubble Blaster Madness VR;0
755;PC Check & Tuning 2019 Steam Edition;1000
756;UNIDENTIFIED;0
757;SPEED BOX;5000
758;Defense Contract;0
759;Black Bart;1000
760;Zether;0
761;Berserker's Descent;1000
762;Redshift VR;0
763;Study of Unusual: Forest of Secrets;1000
764;War in Space;1000
765;Poopy Philosophy;3000
766;Legend of Dragon Labyrinth;0
767;Element;2000
768;Perverts Society;0
769;Three Kingdoms：Ancient battlefield | 三国古战略;1000
770;Ladies;0
771;Event-D;3000
772;Egg Hunt;0
773;MultiTaskMaster;1000
774;Crystal Path;0
775;Suncore Chronicles: The Tower;10000
776;Free Throw;500
777;Need a packet?;1000
778;Galactis;0
779;Visceral Cubes;1000
780;Neon Rage;1000
781;Avem888;0
782;Marvellous Inc.;1000
783;The Red Moon;0
784;Shadowcrawl: The Dark Pilgrimage;1000
785;Thunderbowl;30
786;Rainy Day Racer;1000
787;Conjury of Nature;0
788;Beat;8000
789;liquivid Video to HTML5;0
790;The path to domination;19000
791;聖剣レイヴランシル物語　+(Plus) episode;1000
792;MONMUSU * FIGHT!;2000
793;BRIKS 2;21
794;Test your knowledge: Cities;1000
795;Cute War：Zero 萌系战争：零;0
796;Defend the Highlands: World Tour;2000
797;Star Epica 3720;0
798;Goinund;4000
799;Mahjong Pretty Manga Girls;8000
800;Without Escape;1000
801;Violet Cycle;2000
802;Keeplanet;2000
803;Hiro's Forest Rumble;24
804;Crayola Scoot;1000
805;Qybe;1000
806;Pit of Evil;1000
807;Survivor Island;4000
808;Up And Up;3000
809;Rocket Swords;6000
810;Auri's Tales;2000
811;ForzeBreak;3000
812;Escape the Grid VR;1000
813;ReallyGoodBattle;1000
814;Elite Archery;3000
815;Kansei;2000
816;The Pirates of Sector 7;1000
817;SACRALITH : The Archer`s Tale;5000
818;Turn-Based Champion;3000
819;Meow Motors;5000
820;VR_PlayRoom : Episode Beginning (Escape Room - Horror);1000
821;Treadnauts;11000
822;Predicate;1000
823;Switchblade;59000
824;Superior Wizards;1000
825;Full Ace Tennis Simulator;5000
826;V-Aria;20000
827;天岚行 - Through the Mist and Sky;24000
828;Vosaria: Lair of the Forgotten;1000
829;Shrinking Pains;13000
830;Puzzle Monarch: Vampires;1000
831;Highscore Processing Unit;1000
832;Freezeer;21000
833;Beerd leaver;5000
834;Space Ball;2000
835;秋色的記憶(體驗版) / Fall...in Love (Demo);12000
836;SmartBoy;2000
837;Looking_for_food;1000
838;Puzzlement;9000
839;Skat Stammtisch;1000
840;Campfire Pro;6000
841;Puzzles for smart: Dogs;1000
842;Loria;4000
843;Central Intelligence;2000
844;Armada: Modern Tanks;44000
845;American Patriots: The Swamp Fox;3000
846;Legend of Himari;48000
847;Professor Madhouse;5000
848;魔王村长和杂货店-Hero Village Simulator;2000
849;The Departure;7000
850;Cybrus;2000
851;Rocket Valley Tycoon;63000
852;Corpse Mob;2000
853;Dad Quest | Story Platformer Adventure;5000
854;Shp Space;9000
855;Depth of Extinction;10000
856;Spec-Defense;1000
857;Dot to Dot Puzzles;53000
858;Dragonfly Chronicles;8000
859;Damned Daniel;2000
860;The Forgotten Void;1000
861;Onii-Chan;7000
862;Volotic;1000
863;ArtPose Pro;3000
864;Karloman and His Iced Muffins;3000
865;VEGAS Movie Studio 15 Platinum Steam Edition;6000
866;SHELL;1000
867;PUGNite;9000
868;Rescale;2000
869;Captain Forever Trilogy;8000
870;Ninja SpeedRush;4000
871;Drops: Rhythm Garden;1000
872;Doodle God: Mighty Trio;27000
873;Laws of Machine;2000
874;Deep Sixed;8000
875;Far Cry 5;1894000
876;Temple of Spikes;6000
877;Beyond the Void;60000
878;LOA : Me And Angel;2000
879;Katy and Bob: Safari Cafe;46000
880;Puzzle Monarch: Mummy;1000
881;BANZAI ROYALE;2000
882;Deathgarden: BLOODHARVEST;468000
883;Ghostbusters VR: Showdown;2000
884;Silent Tweets;6000
885;Secret Laboratory;2000
886;Rogue Bit;4000
887;Bloodworks;27000
888;Just Shapes & Beats;371000
889;Call each NEW YEAR;1000
890;Drizzlepath: Deja Vu;3000
891;Story of Eve - A Hero's Study;10000
892;Obscurity;12000
893;Zombie Derby 2;5000
894;Find & Destroy: Tank Strategy;34000
895;Aim Lab;915000
896;Brain 43℃;2000
897;Door;6000
898;Swaps and Traps;4000
899;The Universim;216000
900;SceneThere;3000
901;Rhythm World - Master Project;9000
902;Call of Cthulhu;176000
903;FantasyDynasty: Le château DERETIC;7000
904;Relic Raiders;21000
